FlightNum,PlanTime,ActualTime,Direction,City,Country,Terminal,Status
053,2024-08-04T05:15:00,2024-08-04T05:15:00,D,CORFU,GREECE,1,CANCELED
574,2024-08-04T04:50:00,2024-08-04T05:18:00,D,SOFIA,BULGARIA,3,DEPARTED
311,2024-08-04T05:00:00,2024-08-04T05:19:00,D,LONDON LUTON,UNITED KINGDOM,3,DEPARTED
2212,2024-08-04T05:35:00,2024-08-04T05:26:00,A,ATHENS,GREECE,3,LANDED
457,2024-08-04T05:30:00,2024-08-04T05:30:00,D,HERAKLION,GREECE,3,CANCELED
883,2024-08-04T05:30:00,2024-08-04T05:30:00,D,BATUMI,GEORGIA,3,CANCELED
212,2024-08-03T23:55:00,2024-08-04T05:35:00,A,ATHENS,GREECE,3,CANCELED
6172,2024-08-04T05:25:00,2024-08-04T05:42:00,D,MARSEILLE,FRANCE,3,DEPARTED
321,2024-08-04T05:25:00,2024-08-04T05:42:00,D,MARSEILLE,FRANCE,3,DEPARTED
8902,2024-08-04T05:25:00,2024-08-04T05:42:00,D,MARSEILLE,FRANCE,3,DEPARTED
5145,2024-08-04T05:15:00,2024-08-04T05:45:00,D,THESSALONIKI,GREECE,1,DEPARTED
7879,2024-08-04T05:30:00,2024-08-04T05:47:00,D,MADRID,SPAIN,3,DEPARTED
7871,2024-08-04T05:30:00,2024-08-04T05:47:00,D,MADRID,SPAIN,3,DEPARTED
2394,2024-08-04T05:30:00,2024-08-04T05:47:00,D,MADRID,SPAIN,3,DEPARTED
395,2024-08-04T05:30:00,2024-08-04T05:47:00,D,MADRID,SPAIN,3,DEPARTED
5289,2024-08-04T05:35:00,2024-08-04T05:50:00,D,PRAGUE,CZECH REPUBLIC,3,DEPARTED
1287,2024-08-04T05:35:00,2024-08-04T05:50:00,D,PRAGUE,CZECH REPUBLIC,3,DEPARTED
292,2024-08-04T05:55:00,2024-08-04T05:52:00,A,BARCELONA,SPAIN,3,LANDED
6084,2024-08-04T05:50:00,2024-08-04T05:53:00,D,BOURGAS,BULGARIA,3,DEPARTED
2450,2024-08-04T06:15:00,2024-08-04T05:54:00,A,DUBAI,UNITED ARAB EMIRATES,3,LANDED
1625,2024-08-04T06:15:00,2024-08-04T05:54:00,A,DUBAI,UNITED ARAB EMIRATES,3,LANDED
2392,2024-08-04T05:45:00,2024-08-04T05:55:00,D,BARCELONA,SPAIN,3,DEPARTED
393,2024-08-04T05:45:00,2024-08-04T05:55:00,D,BARCELONA,SPAIN,3,DEPARTED
169,2024-08-03T21:20:00,2024-08-04T05:57:00,D,LARNACA,CYPRUS,3,DEPARTED
5136,2024-08-04T04:20:00,2024-08-04T06:00:00,A,PAPHOS,CYPRUS,3,LANDED
276,2024-08-04T02:00:00,2024-08-04T06:01:00,A,BARCELONA,SPAIN,3,LANDED
353,2024-08-04T06:00:00,2024-08-04T06:11:00,D,MUNICH,GERMANY,3,DEPARTED
5101,2024-08-04T06:00:00,2024-08-04T06:13:00,D,WARSAW,POLAND,3,DEPARTED
5143,2024-08-04T05:55:00,2024-08-04T06:15:00,D,PATRAS,GREECE,1,DEPARTED
7067,2024-08-04T05:30:00,2024-08-04T06:17:00,D,PARIS,FRANCE,3,DEPARTED
7867,2024-08-04T05:30:00,2024-08-04T06:17:00,D,PARIS,FRANCE,3,DEPARTED
319,2024-08-04T05:30:00,2024-08-04T06:17:00,D,PARIS,FRANCE,3,DEPARTED
3161,2024-08-04T05:30:00,2024-08-04T06:17:00,D,PARIS,FRANCE,3,DEPARTED
289,2024-08-04T06:00:00,2024-08-04T06:19:00,D,VENICE,ITALY,3,DEPARTED
7877,2024-08-04T06:05:00,2024-08-04T06:21:00,D,ROME,ITALY,3,DEPARTED
385,2024-08-04T06:05:00,2024-08-04T06:21:00,D,ROME,ITALY,3,DEPARTED
3167,2024-08-04T06:05:00,2024-08-04T06:21:00,D,ROME,ITALY,3,DEPARTED
8898,2024-08-04T06:05:00,2024-08-04T06:21:00,D,ROME,ITALY,3,DEPARTED
7454,2024-08-04T06:10:00,2024-08-04T06:24:00,D,FRANKFURT,GERMANY,3,DEPARTED
357,2024-08-04T06:10:00,2024-08-04T06:24:00,D,FRANKFURT,GERMANY,3,DEPARTED
3165,2024-08-04T06:10:00,2024-08-04T06:24:00,D,FRANKFURT,GERMANY,3,DEPARTED
041,2024-08-04T06:00:00,2024-08-04T06:26:00,D,RAMON,ISRAEL,1,DEPARTED
7864,2024-08-04T06:20:00,2024-08-04T06:30:00,D,AMSTERDAM,NETHERLANDS,3,DEPARTED
308,2024-08-04T06:30:00,2024-08-04T06:30:00,D,RHODES,GREECE,3,CANCELED
2473,2024-08-04T06:20:00,2024-08-04T06:30:00,D,AMSTERDAM,NETHERLANDS,3,DEPARTED
337,2024-08-04T06:20:00,2024-08-04T06:30:00,D,AMSTERDAM,NETHERLANDS,3,DEPARTED
3155,2024-08-04T06:20:00,2024-08-04T06:30:00,D,AMSTERDAM,NETHERLANDS,3,DEPARTED
238,2024-08-03T23:45:00,2024-08-04T06:34:00,D,BUCHAREST,ROMANIA,3,DEPARTED
772,2024-08-04T06:40:00,2024-08-04T06:40:00,D,RIGA,LATVIA,3,CANCELED
2371,2024-08-04T06:20:00,2024-08-04T06:40:00,D,BERLIN,GERMANY,3,DEPARTED
3157,2024-08-04T06:20:00,2024-08-04T06:40:00,D,BERLIN,GERMANY,3,DEPARTED
082,2024-08-04T06:30:00,2024-08-04T06:48:00,A,BANGKOK,THAILAND,3,LANDED
5021,2024-08-04T06:30:00,2024-08-04T06:48:00,A,BANGKOK,THAILAND,3,LANDED
4583,2024-08-04T06:30:00,2024-08-04T06:48:00,A,BANGKOK,THAILAND,3,LANDED
3299,2024-08-04T06:30:00,2024-08-04T06:48:00,A,BANGKOK,THAILAND,3,LANDED
515,2024-08-04T15:10:00,2024-08-04T06:51:00,D,RHODES,GREECE,1,DEPARTED
7066,2024-08-04T07:10:00,2024-08-04T06:57:00,A,PARIS,FRANCE,3,LANDED
1326,2024-08-04T07:10:00,2024-08-04T06:57:00,A,PARIS,FRANCE,3,LANDED
801,2024-08-04T05:30:00,2024-08-04T06:58:00,D,RAMON,ISRAEL,1,DEPARTED
2365,2024-08-04T06:40:00,2024-08-04T07:00:00,D,BUDAPEST,HUNGARY,3,DEPARTED
361,2024-08-04T06:40:00,2024-08-04T07:02:00,D,VIENNA,AUSTRIA,3,DEPARTED
116,2024-08-04T07:10:00,2024-08-04T07:02:00,A,LARNACA,CYPRUS,3,LANDED
111,2024-08-04T07:10:00,2024-08-04T07:15:00,A,LARNACA,CYPRUS,3,LANDED
996,2024-08-04T07:15:00,2024-08-04T07:15:00,D,LARNACA,CYPRUS,3,CANCELED
5802,2024-08-04T07:20:00,2024-08-04T07:20:00,A,RAMON,ISRAEL,1,CANCELED
541,2024-08-04T07:10:00,2024-08-04T07:22:00,D,ATHENS,GREECE,3,DEPARTED
573,2024-08-04T07:10:00,2024-08-04T07:25:00,D,BUCHAREST,ROMANIA,3,DEPARTED
2345,2024-08-04T07:50:00,2024-08-04T07:27:00,A,DUBAI,UNITED ARAB EMIRATES,3,LANDED
1807,2024-08-04T07:50:00,2024-08-04T07:27:00,A,DUBAI,UNITED ARAB EMIRATES,3,LANDED
2821,2024-08-04T07:15:00,2024-08-04T07:27:00,D,RAMON,ISRAEL,1,DEPARTED
736,2024-08-04T07:30:00,2024-08-04T07:30:00,A,LARNACA,CYPRUS,3,CANCELED
761,2024-08-04T07:10:00,2024-08-04T07:31:00,D,PRAGUE,CZECH REPUBLIC,3,DEPARTED
2451,2024-08-04T07:20:00,2024-08-04T07:33:00,D,DUBAI,UNITED ARAB EMIRATES,3,DEPARTED
1626,2024-08-04T07:20:00,2024-08-04T07:33:00,D,DUBAI,UNITED ARAB EMIRATES,3,DEPARTED
459,2024-08-04T07:40:00,2024-08-04T07:40:00,D,HERAKLION,GREECE,3,CANCELED
415,2024-08-04T07:40:00,2024-08-04T07:40:00,D,BATUMI,GEORGIA,3,CANCELED
571,2024-08-04T07:30:00,2024-08-04T07:40:00,D,THESSALONIKI,GREECE,1,DEPARTED
055,2024-08-04T07:30:00,2024-08-04T07:47:00,D,RAMON,ISRAEL,1,DEPARTED
5131,2024-08-04T07:25:00,2024-08-04T07:51:00,D,LARNACA,CYPRUS,1,DEPARTED
381,2024-08-04T07:40:00,2024-08-04T08:05:00,D,MILAN,ITALY,3,DEPARTED
3185,2024-08-04T07:40:00,2024-08-04T08:05:00,D,MILAN,ITALY,3,DEPARTED
8910,2024-08-04T07:40:00,2024-08-04T08:05:00,D,MILAN,ITALY,3,DEPARTED
736,2024-08-04T07:30:00,2024-08-04T08:05:00,A,LARNACA,CYPRUS,3,LANDED
118,2024-08-04T08:15:00,2024-08-04T08:08:00,A,LARNACA,CYPRUS,3,LANDED
091,2024-08-04T06:00:00,2024-08-04T08:09:00,D,HERAKLION,GREECE,1,DEPARTED
752,2024-08-04T08:10:00,2024-08-04T08:10:00,D,HERAKLION,GREECE,3,CANCELED
5159,2024-08-04T05:30:00,2024-08-04T08:14:00,D,LARNACA,CYPRUS,3,DEPARTED
177,2024-08-04T08:00:00,2024-08-04T08:17:00,D,TIVAT,MONTENEGRO,3,DEPARTED
347,2024-08-04T08:00:00,2024-08-04T08:20:00,D,ZURICH,SWITZERLAND,3,DEPARTED
3189,2024-08-04T08:00:00,2024-08-04T08:20:00,D,ZURICH,SWITZERLAND,3,DEPARTED
042,2024-08-04T08:45:00,2024-08-04T08:22:00,A,RAMON,ISRAEL,1,LANDED
889,2024-08-04T08:00:00,2024-08-04T08:23:00,D,BATUMI,GEORGIA,1,DEPARTED
597,2024-08-04T08:25:00,2024-08-04T08:25:00,D,PAPHOS,CYPRUS,3,CANCELED
118,2024-08-04T09:05:00,2024-08-04T08:31:00,D,PAPHOS,CYPRUS,3,DEPARTED
1166,2024-08-04T07:00:00,2024-08-04T08:33:00,A,LARNACA,CYPRUS,3,LANDED
156,2024-08-04T08:10:00,2024-08-04T08:39:00,D,PAPHOS,CYPRUS,3,DEPARTED
802,2024-08-04T08:10:00,2024-08-04T08:59:00,A,RAMON,ISRAEL,1,LANDED
576,2024-08-04T09:00:00,2024-08-04T09:00:00,D,BUCHAREST,ROMANIA,3,CANCELED
996,2024-08-04T07:15:00,2024-08-04T09:02:00,A,LARNACA,CYPRUS,3,LANDED
2346,2024-08-04T08:50:00,2024-08-04T09:05:00,D,DUBAI,UNITED ARAB EMIRATES,3,DEPARTED
