CHOPER,CHFLTN,CHOPERD,CHSTOL,CHPTOL,CHAORD,CHLOC1,CHLOC1D,CHLOC1T,CHLOCCT,CHTERM,CHRMINE
6H,586,ISRAIR AIRLINES,2024-08-04T00:10:00,2024-08-04T02:19:00,A,LCA,LARNACA,LARNACA,CYPRUS,3,LANDED
LY,5160,EL AL ISRAEL AIRLINES,2024-08-04T02:20:00,2024-08-04T02:20:00,A,LCA,LARNACA,LARNACA,CYPRUS,3,CANCELED
6H,722,ISRAIR AIRLINES,2024-08-04T02:25:00,2024-08-04T02:25:00,A,BUD,BUDAPEST,BUDAPEST,HUNGARY,3,CANCELED
LY,558,EL AL ISRAEL AIRLINES,2024-08-04T02:50:00,2024-08-04T02:28:00,A,SOF,SOFIA,SOFIA,BULGARIA,3,LANDED
LY,576,EL AL ISRAEL AIRLINES,2024-08-04T02:50:00,2024-08-04T02:30:00,A,OTP,BUCHAREST - OTOPENI,BUCHAREST,ROMANIA,3,LANDED
IZ,216,ARKIA  ISRAELI  AIRLINES,2024-08-03T21:55:00,2024-08-04T02:34:00,A,ATH,ATHENS,ATHENS,GREECE,3,LANDED
AZ,810,ITALIA TRASPORTO AEREO,2024-08-04T03:10:00,2024-08-04T03:10:00,A,FCO,ROME - FIUMICINO,ROME,ITALY,3,CANCELED
IZ,0052F,ARKIA  ISRAELI  AIRLINES,2024-08-04T03:10:00,2024-08-04T03:10:00,A,LCA,LARNACA,LARNACA,CYPRUS,3,CANCELED
IZ,052,ARKIA  ISRAELI  AIRLINES,2024-08-04T03:10:00,2024-08-04T03:10:00,A,LCA,LARNACA,LARNACA,CYPRUS,3,CANCELED
JU,7381,AIR SERBIA,2024-08-04T03:10:00,2024-08-04T03:10:00,A,FCO,ROME - FIUMICINO,ROME,ITALY,3,CANCELED
6H,566,ISRAIR AIRLINES,2024-08-04T07:25:00,2024-08-04T03:30:00,A,ATH,ATHENS,ATHENS,GREECE,3,LANDED
